Goal,Set,Subset,Alg,Learned?,Link
ZBLL,T,horizontal,"(U2) F' R F R2 D' R U' R' D R2 F' R' F
(U) R' D R D' R' D R U R' D' R D R' D' R
(U') R U R' U R U2 R' L' U' L U' L' U2 L
(U) L' U' L U' L' U2 L R U R' U R U2 R'
(U2) R' D' R D R' D' R U' R' D R D' R' D R",TRUE,http://google.com
ZBLL,T,horizontal,R U2 R' U' R U' R2' U2 R U R' U R,TRUE,google.com
ZBLL,T,horizontal,(U') R U R' U R U2 R' U' R U2 R' U' R U' R',TRUE,google.com
ZBLL,T,horizontal,R U2 R' U' R U' R' U R U R' U R U2 R',TRUE,google.com
ZBLL,T,horizontal,"(U) R' F' U' F U' R U R2 F R F' U R
(U') R U R' U R U' R' U R' U' R2 U' R2 U2 R",TRUE,google.com
ZBLL,T,horizontal,"R U' R2 F R F' R U' B U' B' U' R' 
R U' R2 F R F' R U' f' R' f U' R'
(U') R U R2 U' R2 U' R2 U2 R U' R U' R'",TRUE,google.com
ZBLL,T,horizontal,"x' D R U' R' D' R2 D2 R' U R D2 R2 x
x D' R' U R D R2' D2 R U' R' D2 R2 x'",TRUE,google.com
ZBLL,T,horizontal,(U2) R' U2 R U R' U R2 U2 R' U' R U' R',TRUE,google.com
ZBLL,T,horizontal,(U2) R U' R' U2 R U R' U2 R U R' U R U' R',TRUE,google.com
ZBLL,T,horizontal,"(U2) R' U2 R U R' U R U' R' U' R U' R' U2 R
L' U2 L U L' U L U' L' U' L U' L' U2 L",TRUE,google.com
ZBLL,T,horizontal,"(U2) F R U R2' F2 D' F' D F' R U' F'
(U') R' U' R U' R' U R U' R U R2 U R2 U2 R'",TRUE,google.com
ZBLL,T,horizontal,"(U') R' U' R2 U R2 U R2 U2 R' U R' U R
(U2) R' U R2 f' U' f R' U F' U F U R 
R' F2 L F L' U L' U' L U' F U R",TRUE,google.com
ZBLL,T,vertical,(U') R U' R2 D' r U2 r' D R2 U R',TRUE,google.com
ZBLL,T,vertical,"R U2 M' U R' U' F' U2 F r' F R F' 
(U2) R U R' U R U R2 D' r U2 r' D R2 U R'",TRUE,google.com
ZBLL,T,vertical,"(U') R' U F' R' U2 R U2 F U' R' U R2
(U) R2 U R' D' R U R' D R' U' R2 U' R2",TRUE,google.com
ZBLL,T,vertical,"R2 U' R U F' U2 R' U2 R F U' R
(U2) R U R' U' R U R2 D' R U' R' D R U2 R U' R'",TRUE,google.com
ZBLL,T,vertical,"r B' R' B r2' F R F' r U R' U2 R
r' F R F' r U M' U R U' r' F R' F'
(U') r U2 R2 F R F' R U2 B2 r' U' r B' r'",TRUE,google.com
ZBLL,T,vertical,"(U) R' UD' R U2 R' D R' U' R U2 R' U' R2
S M F R' F' r F' U2 F U R U R' S'",TRUE,google.com
ZBLL,T,vertical,(U) R' U R2 D r' U2 r D' R2 U' R,TRUE,google.com
ZBLL,T,vertical,"F R' F' r F' U2 F U R U' M U2 R' 
(U2) R U' R2 D' r U2 r' D R2 U' R' U' R U' R'",TRUE,google.com
ZBLL,T,vertical,(U') R2 U' R D R' U' R D' R U R2 U R2 (U) L U' F L U2 L' U2 F' U L U' L2,TRUE,google.com
ZBLL,T,vertical,(U) F U R' D' r U2 r' D R2 U' R' U F',TRUE,google.com
ZBLL,T,vertical,"(U2) R' F2 U2 F R U2 r U' r' F U2 R' F U2 R
(U2) R2 F2 R U' M' F' M U M' F r' F2 R2",TRUE,google.com
ZBLL,T,vertical,"(U') R DU' R' U2 R D' R U R' U2 R U R2
S R U' R' U' F' U2 F r' F R F' M' S'",TRUE,google.com
ZBLL,T,front,(U2) R U' R' U2 L R U' R' U L',TRUE,google.com
ZBLL,T,front,(U2) F R U' R' S U' R U f' U R2' F R F' R,TRUE,google.com
ZBLL,T,front,(U) R' F R' F' R2 U' R' U R f R' f',TRUE,google.com
ZBLL,T,front,"F' U L U2 L' U' F L U L' U' L U' L'
(U2) F U F' U R' F r U' M U2 R' F' R",TRUE,google.com
ZBLL,T,front,"(U2) R' U' R U' R' U R F U' R' U2 R U F'
(U') F R' F' U2 S' U' f R F' U R' U R",TRUE,google.com
ZBLL,T,front,"r' U2 R U R2 F2 R F R' F2 R U r 
R' U R U F' R' E R U R' D f R2 D z'",TRUE,google.com
ZBLL,T,front,"R' U R U2 L' R' U R U' L
(U2) L' U R' U' R L U2 R' U' R
(U2) L' U L U2 R' L' U L U' R",TRUE,google.com
ZBLL,T,front,(U2) F' r2 U2 R' F' R U2 r' U r',TRUE,google.com
